"StudentID","ProgramName","OrderTypeDescription","OrderDate"
u040143,BBA with Project Management,Academic Leave Started,2025-10-27
u050350,Foundation Programme,Withdraw (Student Initiated),2025-10-27
u050350,BSc Accounting and Finance,Withdraw (Student Initiated),2025-10-27
u050350,BBA with Economics and Sustainable Development,Withdraw (Student Initiated),2025-10-27
u050443,Foundation Programme,Withdraw (Student Initiated),2025-10-27
u050443,BSc Accounting and Finance,Withdraw (Student Initiated),2025-10-27
u020094,BBA with Project Management,Academic Leave Started,2025-10-27
u020036,BBA with Logistics and Supply Chain Management,Withdraw (Student Initiated),2025-10-27
u060470,Foundation Programme,Withdraw (Student Initiated),2025-10-30
u050387,Foundation Programme,Withdraw (Student Initiated),2025-10-30
u060187,Foundation Programme,Withdraw (Student Initiated),2025-10-30
u050178,Foundation Programme,Academic Leave Started,2025-11-03
u050178,BBA with E-Business and Digital Marketing,Academic Leave Started,2025-11-03
u040138,BBA with Project Management,Withdraw (Student Initiated),2025-11-03
u050322,Foundation Programme,Withdraw (Student Initiated),2025-11-03
u050106,Foundation Programme,Reinstated,2025-11-10
u060161,Foundation Programme,Withdraw (Student Initiated),2025-11-11
u060639,Foundation Programme,Withdraw (Student Initiated),2025-11-17
u050437,Foundation Programme,Academic Leave Started,2025-11-17
u050437,BSc Banking and Finance,Academic Leave Started,2025-11-17
g010007,MSc in International Management,Withdraw (BMU Initiated),2025-11-18
g020001,MSc in Accounting and Finance,Withdraw (BMU Initiated),2025-11-18
g020002,MSc in Accounting and Finance,Withdraw (BMU Initiated),2025-11-18
g020006,MSc in Accounting and Finance,Withdraw (BMU Initiated),2025-11-18
g020023,MSc in International Management,Withdraw (BMU Initiated),2025-11-18
u050385,Foundation Programme,Academic Leave Started,2025-11-18
u050385,BBA with E-Business and Digital Marketing,Academic Leave Started,2025-11-18
u050385,BBA with Communications and Public Relations,Academic Leave Started,2025-11-18
u010013,BBA with Project Management,Withdraw (Student Initiated),2025-11-19
u010036,BSc Accounting and Finance,Withdraw (BMU Initiated),2025-11-20
u030093,BSc Banking and Finance,Withdraw (BMU Initiated),2025-11-20
u050160,Foundation Programme,Withdraw (Student Initiated),2025-11-21
u050160,BBA with Economics and Sustainable Development,Withdraw (Student Initiated),2025-11-21
u050320,Foundation Programme,Withdraw (Student Initiated),2025-11-21
u050320,BBA with Project Management,Withdraw (Student Initiated),2025-11-21
u060181,Foundation Programme,Withdraw (Student Initiated),2025-11-26
u050366,Foundation Programme,Academic Leave Started,2025-11-28
u050366,BBA with Project Management,Academic Leave Started,2025-11-28
u050212,Foundation Programme,Withdraw (Student Initiated),2025-12-02
u060304,Foundation Programme,Withdraw (Student Initiated),2025-12-11
u040159,BBA with Project Management,Withdraw (Student Initiated),2025-12-15
u060293,Foundation Programme,Withdraw (BMU Initiated),2025-12-23
u060313,Foundation Programme,Withdraw (BMU Initiated),2025-12-23
u060314,Foundation Programme,Withdraw (BMU Initiated),2025-12-23
u060315,Foundation Programme,Withdraw (BMU Initiated),2025-12-23
u060586,Foundation Programme,Withdraw (BMU Initiated),2025-12-23
u050137,Foundation Programme,Withdraw (Student Initiated),2025-12-24
u050137,BSc Banking and Finance,Withdraw (Student Initiated),2025-12-24
u050245,Foundation Programme,Withdraw (Student Initiated),2026-01-14
u050245,BSc Banking and Finance,Withdraw (Student Initiated),2026-01-14
u050145,Foundation Programme,Withdraw (Student Initiated),2026-01-19
u050145,BBA with Project Management,Withdraw (Student Initiated),2026-01-19
u050314,Foundation Programme,Withdraw (Student Initiated),2026-01-19
u050314,BBA with E-Business and Digital Marketing,Withdraw (Student Initiated),2026-01-19
u030206,BSc Accounting and Finance,Academic Leave Started,2026-01-19
u060434,Foundation Programme,Withdraw (Student Initiated),2026-01-20
u060689,Foundation Programme,Withdraw (Student Initiated),2026-01-29
u030170,BSc Accounting and Finance,Withdraw (Student Initiated),2026-02-06
u030170,BSc Accounting and Finance,Withdraw (Student Initiated),2026-02-06
u060498,Foundation Programme,Withdraw (Student Initiated),2026-02-06
u060223,Foundation Programme,Withdraw (Student Initiated),2026-02-06
