"StudentID","ProgramName","ModuleCode","ModuleName","TotalMark","TotalGrade"
g030018,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,57.00,C 
g030018,MSc in Accounting and Finance,COM501 ,Communication for Managers,28.00,D 
g030018,MSc in Accounting and Finance,FIN501 ,Corporate Finance,61.00,B 
g030019,MSc in International Management,ACC501 ,Accounting for Managers,72.00,A 
g030019,MSc in International Management,COM501 ,Communication for Managers,62.00,B 
g030020,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,0.00,D 
g030020,MSc in Accounting and Finance,COM501 ,Communication for Managers,27.00,D 
g030020,MSc in Accounting and Finance,FIN501 ,Corporate Finance,0.00,D 
g030021,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,58.00,C 
g030021,MSc in Accounting and Finance,COM501 ,Communication for Managers,69.00,B 
g040001,MSc in International Management,ACC501 ,Accounting for Managers,74.00,A 
g040001,MSc in International Management,COM501 ,Communication for Managers,57.00,C 
g040002,MBA with Project Management,COM501 ,Communication for Managers,23.00,D 
g040002,MBA with Project Management,MGT503 ,Organizational Analysis and Stakeholder Management,0.00,D 
g040003,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,0.00,D 
g040003,MSc in Accounting and Finance,COM501 ,Communication for Managers,54.00,C 
g040003,MSc in Accounting and Finance,FIN501 ,Corporate Finance,0.00,D 
g040004,MBA with Project Management,COM501 ,Communication for Managers,64.00,B 
g040004,MBA with Project Management,MGT503 ,Organizational Analysis and Stakeholder Management,56.00,C 
g040005,MSc in International Management,ACC501 ,Accounting for Managers,0.00,D 
g040005,MSc in International Management,COM501 ,Communication for Managers,0.00,D 
g040006,MSc in International Management,ACC501 ,Accounting for Managers,73.00,A 
g040006,MSc in International Management,COM501 ,Communication for Managers,65.00,B 
g040007,MSc in International Management,ACC501 ,Accounting for Managers,57.00,C 
g040007,MSc in International Management,COM501 ,Communication for Managers,64.00,B 
g040008,MSc in International Management,ACC501 ,Accounting for Managers,74.00,A 
g040008,MSc in International Management,COM501 ,Communication for Managers,72.00,A 
g040009,MBA with Project Management,COM501 ,Communication for Managers,44.00,D 
g040009,MBA with Project Management,MGT503 ,Organizational Analysis and Stakeholder Management,0.00,D 
